elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
68800.001159, 9.999226, 49, 8426, 15096.6, 14835, 21062, 22628, 22628, 22628, 0
68810.001363, 10.000204, 34, 11402, 16327.7, 15723, 21221, 26507, 26507, 26507, 0
68820.001833, 10.00047, 32, 9867, 16541.0, 15612, 28196, 32649, 32649, 32649, 0
68830.001322, 9.999489, 40, 6747, 15413.3, 14445, 20724, 31171, 31171, 31171, 0
68840.001225, 9.999903, 47, 9709, 17014.3, 15817, 25366, 37854, 37854, 37854, 0
68850.001858, 10.000633, 47, 10377, 15457.5, 15229, 21491, 24909, 24909, 24909, 0
68860.001241, 9.999383, 30, 9077, 16780.9, 15227, 22321, 42094, 42094, 42094, 0
68870.001245, 10.000004, 34, 11119, 16511.9, 15981, 22506, 25384, 25384, 25384, 0
68880.001249, 10.000004, 31, 10562, 15197.1, 14919, 19094, 22967, 22967, 22967, 0
68890.001244, 9.999995, 52, 8757, 15527.1, 14439, 23628, 25380, 31996, 31996, 0
68900.001267, 10.000023, 49, 10046, 15108.6, 14778, 19752, 23978, 23978, 23978, 0
68910.001322, 10.000055, 43, 10627, 15675.7, 14626, 21931, 30271, 30271, 30271, 0
68920.001411, 10.000089, 34, 11655, 16310.0, 16274, 20275, 24928, 24928, 24928, 0
68930.001242, 9.999831, 40, 11379, 17275.0, 16841, 23345, 26135, 26135, 26135, 0
68940.001287, 10.000045, 50, 11794, 17029.8, 16858, 21646, 26135, 32604, 32604, 0
68950.001415, 10.000128, 40, 7866, 16299.7, 15240, 24213, 33146, 33146, 33146, 0
68960.001664, 10.000249, 36, 9815, 17453.5, 16118, 24709, 45561, 45561, 45561, 0
68970.001404, 9.99974, 28, 10454, 15847.4, 15396, 22975, 33602, 33602, 33602, 0
68980.001215, 9.999811, 43, 10019, 14990.4, 13783, 20800, 23919, 23919, 23919, 0
68990.001419, 10.000204, 43, 8374, 16048.3, 15165, 22778, 28334, 28334, 28334, 0
69000.001223, 9.999804, 35, 11382, 17311.0, 16865, 26223, 28158, 28158, 28158, 0
69010.001305, 10.000082, 37, 9540, 17056.8, 16372, 26969, 28158, 28158, 28158, 0
69020.001543, 10.000238, 38, 9162, 16751.3, 15960, 23259, 26969, 26969, 26969, 0
69030.001635, 10.000092, 38, 9280, 15257.0, 14889, 20359, 25635, 25635, 25635, 0
69040.001264, 9.999629, 46, 7930, 16378.9, 15620, 22515, 24867, 24867, 24867, 0
69050.001325, 10.000061, 42, 8006, 15441.3, 15172, 21601, 23982, 23982, 23982, 0
69060.001201, 9.999876, 42, 9211, 15790.7, 14906, 24130, 33444, 33444, 33444, 0
69070.001346, 10.000145, 40, 10133, 15815.7, 15274, 20727, 26800, 26800, 26800, 0
69080.001203, 9.999857, 33, 10909, 15586.6, 15433, 19190, 26365, 26365, 26365, 0
69090.001405, 10.000202, 36, 11548, 16095.3, 14669, 25198, 28501, 28501, 28501, 0
69100.001541, 10.000136, 34, 8140, 17958.8, 16555, 25624, 36155, 36155, 36155, 0
69110.001824, 10.000283, 44, 7817, 15276.8, 14853, 21688, 25845, 25845, 25845, 0
69120.001609, 9.999785, 31, 9339, 15673.9, 15679, 20446, 24845, 24845, 24845, 0
69130.0013, 9.999691, 47, 9243, 15005.9, 14509, 20583, 21162, 21162, 21162, 0
69140.001572, 10.000272, 38, 9131, 16907.0, 16282, 25936, 26754, 26754, 26754, 0
69150.002911, 10.001339, 36, 10392, 16294.8, 14933, 25603, 30794, 30794, 30794, 0
69160.002275, 9.999364, 43, 10143, 16114.3, 15433, 22950, 25641, 25641, 25641, 0
